sampleId	sampleName	地址	经度	纬度	环境图片	门图片地址	纲图片地址	目图片地址	科图片地址	属图片地址
20	28	学五草坪	116.3073	39.98895	pic/env/N-28.jpg	pic/pie_charts_level2/pie_chart_level2-20.png	pic/pie_charts_level3/pie_chart_level3-20.png	pic/pie_charts_level4/pie_chart_level4-20.png	pic/pie_charts_level5/pie_chart_level5-20.png	pic/pie_charts_level6/pie_chart_level6-20.png
21	3	东门侧边	116.315221	39.99188	pic/env/N-3.jpg	pic/pie_charts_level2/pie_chart_level2-21.png	pic/pie_charts_level3/pie_chart_level3-21.png	pic/pie_charts_level4/pie_chart_level4-21.png	pic/pie_charts_level5/pie_chart_level5-21.png	pic/pie_charts_level6/pie_chart_level6-21.png
22	30	静园草坪	116.308293	39.99174	pic/env/N-30.jpg	pic/pie_charts_level2/pie_chart_level2-22.png	pic/pie_charts_level3/pie_chart_level3-22.png	pic/pie_charts_level4/pie_chart_level4-22.png	pic/pie_charts_level5/pie_chart_level5-22.png	pic/pie_charts_level6/pie_chart_level6-22.png
23	34	勺园	116.306253	39.99172	pic/env/N-34.jpg	pic/pie_charts_level2/pie_chart_level2-23.png	pic/pie_charts_level3/pie_chart_level3-23.png	pic/pie_charts_level4/pie_chart_level4-23.png	pic/pie_charts_level5/pie_chart_level5-23.png	pic/pie_charts_level6/pie_chart_level6-23.png
24	35	佟园	116.306919	39.99111	pic/env/N-35.jpg	pic/pie_charts_level2/pie_chart_level2-24.png	pic/pie_charts_level3/pie_chart_level3-24.png	pic/pie_charts_level4/pie_chart_level4-24.png	pic/pie_charts_level5/pie_chart_level5-24.png	pic/pie_charts_level6/pie_chart_level6-24.png
25	37	燕南园北侧	116.309241	39.99021	pic/env/N-37.jpg	pic/pie_charts_level2/pie_chart_level2-25.png	pic/pie_charts_level3/pie_chart_level3-25.png	pic/pie_charts_level4/pie_chart_level4-25.png	pic/pie_charts_level5/pie_chart_level5-25.png	pic/pie_charts_level6/pie_chart_level6-25.png
26	38	45甲乙	116.30636	39.98986	pic/env/N-38.jpg	pic/pie_charts_level2/pie_chart_level2-26.png	pic/pie_charts_level3/pie_chart_level3-26.png	pic/pie_charts_level4/pie_chart_level4-26.png	pic/pie_charts_level5/pie_chart_level5-26.png	pic/pie_charts_level6/pie_chart_level6-26.png
27	39	46-47宿舍区	116.306118	39.98861	pic/env/N-39.jpg	pic/pie_charts_level2/pie_chart_level2-27.png	pic/pie_charts_level3/pie_chart_level3-27.png	pic/pie_charts_level4/pie_chart_level4-27.png	pic/pie_charts_level5/pie_chart_level5-27.png	pic/pie_charts_level6/pie_chart_level6-27.png
28	4	理教后门	116.313616	39.99169	pic/env/N-4.jpg	pic/pie_charts_level2/pie_chart_level2-28.png	pic/pie_charts_level3/pie_chart_level3-28.png	pic/pie_charts_level4/pie_chart_level4-28.png	pic/pie_charts_level5/pie_chart_level5-28.png	pic/pie_charts_level6/pie_chart_level6-28.png
29	40	艺园	116.313509	39.99086	pic/env/N-40.jpg	pic/pie_charts_level2/pie_chart_level2-29.png	pic/pie_charts_level3/pie_chart_level3-29.png	pic/pie_charts_level4/pie_chart_level4-29.png	pic/pie_charts_level5/pie_chart_level5-29.png	pic/pie_charts_level6/pie_chart_level6-29.png
30	43	阿卜杜勒阿齐兹图书馆	116.309511	39.99269	pic/env/N-43.jpg	pic/pie_charts_level2/pie_chart_level2-30.png	pic/pie_charts_level3/pie_chart_level3-30.png	pic/pie_charts_level4/pie_chart_level4-30.png	pic/pie_charts_level5/pie_chart_level5-30.png	pic/pie_charts_level6/pie_chart_level6-30.png
31	44	生物标本馆	116.311606	39.99282	pic/env/N-44.jpg	pic/pie_charts_level2/pie_chart_level2-31.png	pic/pie_charts_level3/pie_chart_level3-31.png	pic/pie_charts_level4/pie_chart_level4-31.png	pic/pie_charts_level5/pie_chart_level5-31.png	pic/pie_charts_level6/pie_chart_level6-31.png
32	46	燕南园南侧	116.308421	39.98923	pic/env/N-46.jpg	pic/pie_charts_level2/pie_chart_level2-32.png	pic/pie_charts_level3/pie_chart_level3-32.png	pic/pie_charts_level4/pie_chart_level4-32.png	pic/pie_charts_level5/pie_chart_level5-32.png	pic/pie_charts_level6/pie_chart_level6-32.png
33	6	英杰交流中心	116.313953	39.99052	pic/env/N-6.jpg	pic/pie_charts_level2/pie_chart_level2-33.png	pic/pie_charts_level3/pie_chart_level3-33.png	pic/pie_charts_level4/pie_chart_level4-33.png	pic/pie_charts_level5/pie_chart_level5-33.png	pic/pie_charts_level6/pie_chart_level6-33.png
34	7	理科二号楼	116.314386	39.99089	pic/env/N-7.jpg	pic/pie_charts_level2/pie_chart_level2-34.png	pic/pie_charts_level3/pie_chart_level3-34.png	pic/pie_charts_level4/pie_chart_level4-34.png	pic/pie_charts_level5/pie_chart_level5-34.png	pic/pie_charts_level6/pie_chart_level6-34.png
35	8	二教	116.312905	39.98972	pic/env/N-8.jpg	pic/pie_charts_level2/pie_chart_level2-35.png	pic/pie_charts_level3/pie_chart_level3-35.png	pic/pie_charts_level4/pie_chart_level4-35.png	pic/pie_charts_level5/pie_chart_level5-35.png	pic/pie_charts_level6/pie_chart_level6-35.png
36	CY1	葛利普墓，西门附近墓碑	116.305332	39.993746	pic/env/CY1.jpg	pic/pie_charts_level2/pie_chart_level2-36.png	pic/pie_charts_level3/pie_chart_level3-36.png	pic/pie_charts_level4/pie_chart_level4-36.png	pic/pie_charts_level5/pie_chart_level5-36.png	pic/pie_charts_level6/pie_chart_level6-36.png
37	CY15	元培学院附近李大钊像	116.30817	39.992896	pic/env/CY15.jpg	pic/pie_charts_level2/pie_chart_level2-37.png	pic/pie_charts_level3/pie_chart_level3-37.png	pic/pie_charts_level4/pie_chart_level4-37.png	pic/pie_charts_level5/pie_chart_level5-37.png	pic/pie_charts_level6/pie_chart_level6-37.png
38	CY16	办公楼附近蔡元培像	116.307366	39.994335	pic/env/CY16.jpg	pic/pie_charts_level2/pie_chart_level2-38.png	pic/pie_charts_level3/pie_chart_level3-38.png	pic/pie_charts_level4/pie_chart_level4-38.png	pic/pie_charts_level5/pie_chart_level5-38.png	pic/pie_charts_level6/pie_chart_level6-38.png
39	CY17	未名湖西岸石碑	116.308011	39.994562	pic/env/CY17.jpg	pic/pie_charts_level2/pie_chart_level2-39.png	pic/pie_charts_level3/pie_chart_level3-39.png	pic/pie_charts_level4/pie_chart_level4-39.png	pic/pie_charts_level5/pie_chart_level5-39.png	pic/pie_charts_level6/pie_chart_level6-39.png
40	CY18	未名湖南石墩，花神庙	116.309982	39.994087	pic/env/CY18.jpg	pic/pie_charts_level2/pie_chart_level2-40.png	pic/pie_charts_level3/pie_chart_level3-40.png	pic/pie_charts_level4/pie_chart_level4-40.png	pic/pie_charts_level5/pie_chart_level5-40.png	pic/pie_charts_level6/pie_chart_level6-40.png
41	CY19	博雅塔下石碑	116.311841	39.993963	pic/env/CY19.jpg	pic/pie_charts_level2/pie_chart_level2-41.png	pic/pie_charts_level3/pie_chart_level3-41.png	pic/pie_charts_level4/pie_chart_level4-41.png	pic/pie_charts_level5/pie_chart_level5-41.png	pic/pie_charts_level6/pie_chart_level6-41.png
42	CY2	西南联大纪念碑，西门附近石碑	116.305272	39.99372	pic/env/CY2.jpg	pic/pie_charts_level2/pie_chart_level2-42.png	pic/pie_charts_level3/pie_chart_level3-42.png	pic/pie_charts_level4/pie_chart_level4-42.png	pic/pie_charts_level5/pie_chart_level5-42.png	pic/pie_charts_level6/pie_chart_level6-42.png
43	CY3	校史馆馆前台阶	116.306078	39.993284	pic/env/CY3.jpg	pic/pie_charts_level2/pie_chart_level2-43.png	pic/pie_charts_level3/pie_chart_level3-43.png	pic/pie_charts_level4/pie_chart_level4-43.png	pic/pie_charts_level5/pie_chart_level5-43.png	pic/pie_charts_level6/pie_chart_level6-43.png
44	CY35	西门校友桥桥梁栏杆	116.30506	39.994592	pic/env/CY35.jpg	pic/pie_charts_level2/pie_chart_level2-44.png	pic/pie_charts_level3/pie_chart_level3-44.png	pic/pie_charts_level4/pie_chart_level4-44.png	pic/pie_charts_level5/pie_chart_level5-44.png	pic/pie_charts_level6/pie_chart_level6-44.png
45	CY36	西门华表栏杆	116.305477	39.994523	pic/env/CY36.jpg	pic/pie_charts_level2/pie_chart_level2-45.png	pic/pie_charts_level3/pie_chart_level3-45.png	pic/pie_charts_level4/pie_chart_level4-45.png	pic/pie_charts_level5/pie_chart_level5-45.png	pic/pie_charts_level6/pie_chart_level6-45.png
46	CY4	塞万提斯像	116.305998	39.992798	pic/env/CY4.jpg	pic/pie_charts_level2/pie_chart_level2-46.png	pic/pie_charts_level3/pie_chart_level3-46.png	pic/pie_charts_level4/pie_chart_level4-46.png	pic/pie_charts_level5/pie_chart_level5-46.png	pic/pie_charts_level6/pie_chart_level6-46.png
47	CY40	李兆基人文学苑石刻	116.311648	39.996653	pic/env/CY40.jpg	pic/pie_charts_level2/pie_chart_level2-47.png	pic/pie_charts_level3/pie_chart_level3-47.png	pic/pie_charts_level4/pie_chart_level4-47.png	pic/pie_charts_level5/pie_chart_level5-47.png	pic/pie_charts_level6/pie_chart_level6-47.png
48	CY41	科维理研究所我ai北大天文	116.310766	39.999196	pic/env/CY41.jpg	pic/pie_charts_level2/pie_chart_level2-48.png	pic/pie_charts_level3/pie_chart_level3-48.png	pic/pie_charts_level4/pie_chart_level4-48.png	pic/pie_charts_level5/pie_chart_level5-48.png	pic/pie_charts_level6/pie_chart_level6-48.png
49	CY48	经济学院综合楼石刻	116.312876	39.996839	pic/env/CY48.jpg	pic/pie_charts_level2/pie_chart_level2-49.png	pic/pie_charts_level3/pie_chart_level3-49.png	pic/pie_charts_level4/pie_chart_level4-49.png	pic/pie_charts_level5/pie_chart_level5-49.png	pic/pie_charts_level6/pie_chart_level6-49.png
50	CY49	教育基金会石狮	116.310393	39.996922	pic/env/CY49.jpg	pic/pie_charts_level2/pie_chart_level2-50.png	pic/pie_charts_level3/pie_chart_level3-50.png	pic/pie_charts_level4/pie_chart_level4-50.png	pic/pie_charts_level5/pie_chart_level5-50.png	pic/pie_charts_level6/pie_chart_level6-50.png
51	CY50	郎润园无名桥桥梁栏杆	116.310716	39.997667	pic/env/CY50.jpg	pic/pie_charts_level2/pie_chart_level2-51.png	pic/pie_charts_level3/pie_chart_level3-51.png	pic/pie_charts_level4/pie_chart_level4-51.png	pic/pie_charts_level5/pie_chart_level5-51.png	pic/pie_charts_level6/pie_chart_level6-51.png
52	CY51	房地产管理部消防器材存放柜	116.306859	39.987361	pic/env/CY51.jpg	pic/pie_charts_level2/pie_chart_level2-52.png	pic/pie_charts_level3/pie_chart_level3-52.png	pic/pie_charts_level4/pie_chart_level4-52.png	pic/pie_charts_level5/pie_chart_level5-52.png	pic/pie_charts_level6/pie_chart_level6-52.png
53	FXY-1	法学院	116.31337	39.99471	pic/env/FXY-1.jpg	pic/pie_charts_level2/pie_chart_level2-53.png	pic/pie_charts_level3/pie_chart_level3-53.png	pic/pie_charts_level4/pie_chart_level4-53.png	pic/pie_charts_level5/pie_chart_level5-53.png	pic/pie_charts_level6/pie_chart_level6-53.png
54	FXY-2	法学院	116.31321	39.99371	pic/env/FXY-2.jpg	pic/pie_charts_level2/pie_chart_level2-54.png	pic/pie_charts_level3/pie_chart_level3-54.png	pic/pie_charts_level4/pie_chart_level4-54.png	pic/pie_charts_level5/pie_chart_level5-54.png	pic/pie_charts_level6/pie_chart_level6-54.png
55	JMq-1	居民区	116.31196	39.99804	pic/env/JMq-1.jpg	pic/pie_charts_level2/pie_chart_level2-55.png	pic/pie_charts_level3/pie_chart_level3-55.png	pic/pie_charts_level4/pie_chart_level4-55.png	pic/pie_charts_level5/pie_chart_level5-55.png	pic/pie_charts_level6/pie_chart_level6-55.png
56	JMq-2	居民区	116.31113	39.99788	pic/env/JMq-2.jpg	pic/pie_charts_level2/pie_chart_level2-56.png	pic/pie_charts_level3/pie_chart_level3-56.png	pic/pie_charts_level4/pie_chart_level4-56.png	pic/pie_charts_level5/pie_chart_level5-56.png	pic/pie_charts_level6/pie_chart_level6-56.png
57	JMq-3	居民区	116.31083	39.99687	pic/env/JMq-3.jpg	pic/pie_charts_level2/pie_chart_level2-57.png	pic/pie_charts_level3/pie_chart_level3-57.png	pic/pie_charts_level4/pie_chart_level4-57.png	pic/pie_charts_level5/pie_chart_level5-57.png	pic/pie_charts_level6/pie_chart_level6-57.png
58	JMq-4	居民区	116.31087	39.99674	pic/env/JMq-4.jpg	pic/pie_charts_level2/pie_chart_level2-58.png	pic/pie_charts_level3/pie_chart_level3-58.png	pic/pie_charts_level4/pie_chart_level4-58.png	pic/pie_charts_level5/pie_chart_level5-58.png	pic/pie_charts_level6/pie_chart_level6-58.png
59	JMQS-1	居民区水样	116.31127	39.99791	pic/env/JMQS-1.jpg	pic/pie_charts_level2/pie_chart_level2-59.png	pic/pie_charts_level3/pie_chart_level3-59.png	pic/pie_charts_level4/pie_chart_level4-59.png	pic/pie_charts_level5/pie_chart_level5-59.png	pic/pie_charts_level6/pie_chart_level6-59.png
